ingredient_name,fat_g,carbs_g,protein_g,calories,sodium_mg,category
"Abiyuch, raw",0.1,17.6,1.5,69.0,20.0,other
"Acerola juice, raw",0.3,4.8,0.4,23.0,3.0,other
"Acerola, (west indian cherry), raw",0.3,7.69,0.4,32.0,7.0,other
Acorn stew (Apache),3.47,9.22,6.81,95.0,130.0,other
"Agave, cooked (Southwest)",0.29,32.0,0.99,135.0,13.0,other
"Agave, dried (Southwest)",0.69,82.0,1.71,341.0,14.0,other
"Agave, raw (Southwest)",0.15,16.2,0.52,68.0,14.0,other
"Agutuk, fish with shortening (Alaskan ice cream) (Alaska Native)",43.5,10.5,9.0,470.0,24.0,other
"Agutuk, fish/berry with seal oil (Alaskan ice cream) (Alaska Native)",31.8,13.4,3.4,353.0,21.0,other
"Agutuk, meat-caribou (Alaskan ice cream) (Alaska Native)",18.6,0.9,21.7,258.0,95.0,other
"Alcoholic beverage, beer, light",0.0,1.64,0.24,29.0,4.0,other
"Alcoholic beverage, beer, light, BUD LIGHT",0.0,1.3,0.25,29.0,3.0,other
"Alcoholic beverage, beer, light, BUDWEISER SELECT",0.0,0.87,0.2,28.0,3.0,other
"Alcoholic beverage, beer, light, higher alcohol",0.0,0.77,0.25,46.0,4.0,other
"Alcoholic beverage, beer, light, low carb",0.0,0.73,0.17,27.0,3.0,other
"Alcoholic beverage, beer, regular, all",0.0,3.55,0.46,43.0,4.0,other
"Alcoholic beverage, beer, regular, BUDWEISER",0.0,2.97,0.36,41.0,3.0,other
"Alcoholic beverage, creme de menthe, 72 proof",0.3,41.6,0.0,371.0,5.0,other
"Alcoholic beverage, daiquiri, canned",0.0,15.7,0.0,125.0,40.0,other
"Alcoholic beverage, daiquiri, prepared-from-recipe",0.06,6.94,0.06,186.0,5.0,other
"Alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 100 proof",0.0,0.0,0.0,295.0,1.0,other
"Alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 80 proof",0.0,0.0,0.0,231.0,1.0,other
"Alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 86 proof",0.0,0.1,0.0,250.0,1.0,other
"Alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 90 proof",0.0,0.0,0.0,263.0,1.0,other
"Alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 94 proof",0.0,0.0,0.0,275.0,1.0,other
"Alcoholic beverage, distilled, rum, 80 proof",0.0,0.0,0.0,231.0,1.0,other
"Alcoholic beverage, distilled, vodka, 80 proof",0.0,0.0,0.0,231.0,1.0,other
"Alcoholic beverage, distilled, whiskey, 86 proof",0.0,0.1,0.0,250.0,0.0,other
"Alcoholic beverage, liqueur, coffee with cream, 34 proof",15.7,20.9,2.8,327.0,92.0,other
"Alcoholic beverage, liqueur, coffee, 53 proof",0.3,46.8,0.1,336.0,8.0,other
"Alcoholic beverage, liqueur, coffee, 63 proof",0.3,32.2,0.1,308.0,8.0,other
"Alcoholic beverage, malt beer, hard lemonade",0.0,10.1,0.0,68.0,5.0,other
"Alcoholic beverage, pina colada, canned",7.6,27.6,0.6,237.0,71.0,other
"Alcoholic beverage, pina colada, prepared-from-recipe",1.88,22.7,0.42,174.0,6.0,other
"Alcoholic beverage, rice (sake)",0.0,5.0,0.5,134.0,2.0,other
"Alcoholic beverage, tequila sunrise, canned",0.1,11.3,0.3,110.0,57.0,other
"Alcoholic beverage, whiskey sour",0.03,13.2,0.0,149.0,20.0,other
"Alcoholic beverage, whiskey sour, canned",0.0,13.4,0.0,119.0,44.0,other
"Alcoholic beverage, whiskey sour, prepared from item 14028",0.06,12.8,0.06,153.0,61.0,other
"Alcoholic beverage, whiskey sour, prepared with water, whiskey and powder mix",0.02,15.8,0.1,164.0,47.0,other
